    nm         	pN
1.617197e+002	-1.476881e+001
1.615244e+002	-1.812535e+001
1.613291e+002	-2.282452e+001
1.611338e+002	-1.074095e+001
1.609385e+002	-1.476881e+001
1.607432e+002	-2.752369e+001
1.605478e+002	-1.879666e+001
1.603525e+002	-2.282452e+001
1.601572e+002	-2.081059e+001
1.599619e+002	-1.745405e+001
1.597666e+002	-2.081059e+001
1.595713e+002	-2.282452e+001
1.593760e+002	-2.215321e+001
1.591806e+002	-2.752369e+001
1.589853e+002	-2.819500e+001
1.587900e+002	-2.819500e+001
1.585947e+002	-2.416714e+001
1.583994e+002	-2.215321e+001
1.582041e+002	-2.953762e+001
1.580088e+002	-3.356547e+001
1.578134e+002	-3.625071e+001
1.576181e+002	-2.416714e+001
1.574228e+002	-3.557940e+001
1.572275e+002	-2.819500e+001
1.570322e+002	-4.162119e+001
1.568369e+002	-3.289416e+001
1.566416e+002	-3.020893e+001
1.564462e+002	-2.483845e+001
1.562509e+002	-2.416714e+001
1.560556e+002	-2.618107e+001
1.558603e+002	-3.088023e+001
1.556650e+002	-2.819500e+001
1.554697e+002	-3.289416e+001
1.552744e+002	-2.685238e+001
1.550791e+002	-3.826464e+001
1.548837e+002	-3.289416e+001
1.546884e+002	-3.356547e+001
1.544931e+002	-3.155154e+001
1.542978e+002	-4.766297e+001
1.541025e+002	-3.759333e+001
1.539072e+002	-3.557940e+001
1.537119e+002	-4.833428e+001
1.535165e+002	-4.766297e+001
1.533212e+002	-4.430642e+001
1.531259e+002	-4.967690e+001
1.529306e+002	-4.229249e+001
1.527353e+002	-3.759333e+001
1.525400e+002	-4.363511e+001
1.523447e+002	-1.745405e+001
1.521493e+002	-1.074095e+001
1.519540e+002	-1.544012e+001
1.517587e+002	-1.678273e+001
1.515634e+002	-8.727023e+000
1.513681e+002	-1.074095e+001
1.511728e+002	-2.081059e+001
1.509775e+002	-1.342619e+000
1.507821e+002	-1.006964e+001
1.505868e+002	-2.215321e+001
1.503915e+002	-1.812535e+001
1.501962e+002	-1.476881e+001
1.500009e+002	-1.074095e+001
1.498056e+002	-1.611143e+001
1.496103e+002	-1.409750e+001
1.494149e+002	-1.611143e+001
1.492196e+002	-1.275488e+001
1.490243e+002	-1.879666e+001
1.488290e+002	-1.476881e+001
1.486337e+002	-1.812535e+001
1.484384e+002	-1.409750e+001
1.482431e+002	-1.946797e+001
1.480477e+002	-1.879666e+001
1.478524e+002	-2.148190e+001
1.476571e+002	-2.416714e+001
1.474618e+002	-2.282452e+001
1.472665e+002	-5.370475e+000
1.470712e+002	-9.398332e+000
1.468759e+002	-2.752369e+001
1.466805e+002	-1.879666e+001
1.464852e+002	-1.946797e+001
1.462899e+002	-2.483845e+001
1.460946e+002	-1.342619e+001
1.458993e+002	-2.618107e+001
1.457040e+002	-8.727023e+000
1.455087e+002	-1.476881e+001
1.453134e+002	-1.946797e+001
1.451180e+002	-3.155154e+001
1.449227e+002	-1.476881e+001
1.447274e+002	-1.141226e+001
1.445321e+002	-1.946797e+001
1.443368e+002	-1.544012e+001
1.441415e+002	-9.398332e+000
1.439462e+002	-1.141226e+001
1.437508e+002	-1.611143e+001
1.435555e+002	-1.409750e+001
1.433602e+002	-1.208357e+001
1.431649e+002	-1.141226e+001
1.429696e+002	-1.611143e+001
1.427743e+002	-1.611143e+001
1.425790e+002	-1.812535e+001
1.423836e+002	-1.208357e+001
1.421883e+002	-1.611143e+001
1.419930e+002	-1.476881e+001
1.417977e+002	-1.409750e+001
1.416024e+002	-1.812535e+001
1.414071e+002	-7.384404e+000
1.412118e+002	-1.342619e+001
1.410164e+002	-2.013928e+001
1.408211e+002	-1.476881e+001
1.406258e+002	-1.409750e+001
1.404305e+002	-2.953762e+001
1.402352e+002	-1.678273e+001
1.400399e+002	-1.544012e+001
1.398446e+002	-1.476881e+001
1.396492e+002	-2.752369e+001
1.394539e+002	-1.879666e+001
1.392586e+002	-2.483845e+001
1.390633e+002	-2.483845e+001
1.388680e+002	-8.055713e+000
1.386727e+002	-2.215321e+001
1.384774e+002	-9.398332e+000
1.382820e+002	-1.812535e+001
1.380867e+002	-2.013928e+001
1.378914e+002	-2.148190e+001
1.376961e+002	-1.275488e+001
1.375008e+002	-2.215321e+001
1.373055e+002	-1.342619e+001
1.371102e+002	-2.685238e+001
1.369148e+002	-2.819500e+001
1.367195e+002	-2.215321e+001
1.365242e+002	-2.483845e+001
1.363289e+002	-2.282452e+001
1.361336e+002	-2.416714e+001
1.359383e+002	-2.416714e+001
1.357430e+002	-1.946797e+001
1.355477e+002	-1.812535e+001
1.353523e+002	-2.752369e+001
1.351570e+002	-2.752369e+001
1.349617e+002	-2.483845e+001
1.347664e+002	-2.483845e+001
1.345711e+002	-3.088023e+001
1.343758e+002	-3.155154e+001
1.341805e+002	-2.550976e+001
1.339851e+002	-2.953762e+001
1.337898e+002	-2.349583e+001
1.335945e+002	-2.416714e+001
1.333992e+002	-3.759333e+001
1.332039e+002	-3.423678e+001
1.330086e+002	-2.550976e+001
1.328133e+002	-3.759333e+001
1.326179e+002	-3.557940e+001
1.324226e+002	-3.625071e+001
1.322273e+002	-3.020893e+001
1.320320e+002	-3.088023e+001
1.318367e+002	-3.692202e+001
1.316414e+002	-3.557940e+001
1.314461e+002	-3.020893e+001
1.312507e+002	-3.289416e+001
1.310554e+002	-3.893595e+001
1.308601e+002	-3.759333e+001
1.306648e+002	-2.953762e+001
1.304695e+002	-3.692202e+001
1.302742e+002	-3.222285e+001
1.300789e+002	-3.020893e+001
1.298835e+002	-3.759333e+001
1.296882e+002	-4.430642e+001
1.294929e+002	-3.625071e+001
1.292976e+002	-3.893595e+001
1.291023e+002	-4.564904e+001
1.289070e+002	-3.557940e+001
1.287117e+002	-3.557940e+001
1.285163e+002	-4.363511e+001
1.283210e+002	-3.960725e+001
1.281257e+002	-4.027857e+001
1.279304e+002	-3.960725e+001
1.277351e+002	-4.027857e+001
1.275398e+002	-4.833428e+001
1.273445e+002	-4.094988e+001
1.271491e+002	-5.706130e+001
1.269538e+002	-4.564904e+001
1.267585e+002	-4.229249e+001
1.265632e+002	-4.229249e+001
1.263679e+002	-4.766297e+001
1.261726e+002	-4.833428e+001
1.259773e+002	-4.766297e+001
1.257820e+002	-4.632035e+001
1.255866e+002	-4.632035e+001
1.253913e+002	-4.900559e+001
1.251960e+002	-4.967690e+001
1.250007e+002	-5.370475e+001
1.248054e+002	-6.310309e+001
1.246101e+002	-4.900559e+001
1.244148e+002	-6.176046e+001
1.242194e+002	-5.638999e+001
1.240241e+002	-5.101952e+001
1.238288e+002	-4.833428e+001
1.236335e+002	-5.706130e+001
1.234382e+002	-5.638999e+001
1.232429e+002	-5.907523e+001
1.230476e+002	-6.176046e+001
1.228522e+002	-5.706130e+001
1.226569e+002	-6.444571e+001
1.224616e+002	-5.840392e+001
1.222663e+002	-6.914487e+001
1.220710e+002	-5.907523e+001
1.218757e+002	-6.645964e+001
1.216804e+002	-5.907523e+001
1.214850e+002	-6.645964e+001
1.212897e+002	-6.713094e+001
1.210944e+002	-6.108915e+001
1.208991e+002	-6.310309e+001
1.207038e+002	-7.048749e+001
1.205085e+002	-6.578833e+001
1.203132e+002	-7.048749e+001
1.201178e+002	-7.451535e+001
1.199225e+002	-7.585797e+001
1.197272e+002	-7.787190e+001
1.195319e+002	-7.317272e+001
1.193366e+002	-6.243178e+001
1.191413e+002	-7.250141e+001
1.189460e+002	-7.384404e+001
1.187506e+002	-7.518666e+001
1.185553e+002	-7.921451e+001
1.183600e+002	-8.391368e+001
1.181647e+002	-8.055713e+001
1.179694e+002	-8.324237e+001
1.177741e+002	-8.995546e+001
1.175788e+002	-8.727023e+001
1.173835e+002	-9.398332e+001
1.171881e+002	-9.666856e+001
1.169928e+002	-9.532594e+001
1.167975e+002	-9.801118e+001
1.166022e+002	-8.727023e+001
1.164069e+002	-9.129808e+001
1.162116e+002	-8.391368e+001
1.160163e+002	-1.013677e+002
1.158209e+002	-1.020390e+002
1.156256e+002	-9.264070e+001
1.154303e+002	-1.027103e+002
1.152350e+002	-8.391368e+001
1.150397e+002	-4.430642e+001
1.148444e+002	-4.363511e+001
1.146491e+002	-4.833428e+001
1.144537e+002	-4.229249e+001
1.142584e+002	-4.632035e+001
1.140631e+002	-4.900559e+001
1.138678e+002	-3.826464e+001
1.136725e+002	-4.632035e+001
1.134772e+002	-4.967690e+001
1.132819e+002	-3.020893e+001
1.130865e+002	-3.692202e+001
1.128912e+002	-4.497773e+001
1.126959e+002	-4.162119e+001
1.125006e+002	-5.101952e+001
1.123053e+002	-3.826464e+001
1.121100e+002	-3.960725e+001
1.119147e+002	-4.094988e+001
1.117193e+002	-4.632035e+001
1.115240e+002	-3.826464e+001
1.113287e+002	-4.027857e+001
1.111334e+002	-4.094988e+001
1.109381e+002	-4.229249e+001
1.107428e+002	-4.497773e+001
1.105475e+002	-4.229249e+001
1.103521e+002	-4.430642e+001
1.101568e+002	-4.833428e+001
1.099615e+002	-4.766297e+001
1.097662e+002	-4.900559e+001
1.095709e+002	-4.162119e+001
1.093756e+002	-5.034821e+001
1.091803e+002	-4.967690e+001
1.089849e+002	-4.699166e+001
1.087896e+002	-3.960725e+001
1.085943e+002	-4.967690e+001
1.083990e+002	-3.625071e+001
1.082037e+002	-4.699166e+000
1.080084e+002	-2.013928e+000
1.078131e+002	0.000000e+000
1.076178e+002	-8.055713e+000
1.074224e+002	-1.141226e+001
1.072271e+002	-9.398332e+000
1.070318e+002	4.699310e+000
1.068365e+002	-1.409750e+001
1.066412e+002	-4.027857e+000
1.064459e+002	-1.611143e+001
1.062506e+002	-8.727023e+000
1.060552e+002	-8.727023e+000
1.058599e+002	2.013990e+000
1.056646e+002	-6.713094e-001
1.054693e+002	3.356650e+000
1.052740e+002	-4.027857e+000
1.050787e+002	-6.713094e+000
1.048834e+002	-6.713094e-001
1.046880e+002	-6.041785e+000
1.044927e+002	-1.141226e+001
1.042974e+002	-1.745405e+001
1.041021e+002	-1.141226e+001
1.039068e+002	-6.041785e+000
1.037115e+002	-4.699166e+000
1.035162e+002	-5.370475e+000
1.033208e+002	-1.409750e+001
1.031255e+002	-6.713094e-001
1.029302e+002	4.027979e+000
1.027349e+002	-1.275488e+001
1.025396e+002	4.027979e+000
1.023443e+002	3.356650e+000
1.021490e+002	-3.356547e+000
1.019536e+002	-6.041785e+000
1.017583e+002	-1.342619e+001
1.015630e+002	4.027979e+000
1.013677e+002	-2.282452e+001
1.011724e+002	-8.727023e+000
1.009771e+002	-5.370475e+000
1.007818e+002	-6.041785e+000
1.005864e+002	7.384629e+000
1.003911e+002	-6.713094e-001
1.001958e+002	0.000000e+000
1.000005e+002	0.000000e+000
9.980519e+001	-6.713094e-001
9.960988e+001	-6.713094e-001
9.941456e+001	-8.055713e+000
9.921925e+001	-1.879666e+001
9.902394e+001	-1.074095e+001
9.882862e+001	-3.356547e+000
9.863331e+001	1.342660e+000
9.843799e+001	-7.384404e+000
9.824268e+001	-1.074095e+001
9.804737e+001	-1.074095e+001
9.785205e+001	-1.074095e+001
9.765674e+001	4.699310e+000
9.746142e+001	-4.699166e+000
9.726611e+001	-1.476881e+001
9.707080e+001	0.000000e+000
9.687548e+001	-1.409750e+001
9.668017e+001	-4.699166e+000
9.648485e+001	6.713299e-001
9.628954e+001	6.713299e-001
9.609423e+001	-6.713094e+000
9.589891e+001	-4.027857e+000
9.570360e+001	-3.356547e+000
9.550828e+001	1.342660e+000
9.531297e+001	4.027979e+000
9.511766e+001	-1.006964e+001
9.492234e+001	-2.013928e+000
9.472703e+001	-1.006964e+001
9.453171e+001	-4.699166e+000
9.433640e+001	-7.384404e+000
9.414109e+001	-2.013928e+000
9.394577e+001	2.685320e+000
9.375046e+001	-8.727023e+000
9.355514e+001	-4.027857e+000
9.335983e+001	0.000000e+000
9.316452e+001	-5.370475e+000
9.296920e+001	6.713299e-001
9.277389e+001	-2.685238e+000
9.257857e+001	-5.370475e+000
9.238326e+001	2.013990e+000
9.218795e+001	-6.041785e+000
9.199263e+001	-4.027857e+000
9.179732e+001	-6.713094e-001
9.160200e+001	-5.370475e+000
9.140669e+001	6.713299e-001
9.121138e+001	-5.370475e+000
9.101606e+001	-2.013928e+000
9.082075e+001	-8.727023e+000
9.062543e+001	-9.398332e+000
9.043012e+001	-9.398332e+000
9.023481e+001	-9.398332e+000
9.003949e+001	-1.074095e+001
8.984418e+001	1.342660e+000
8.964886e+001	-4.027857e+000
8.945355e+001	-1.342619e+000
8.925824e+001	2.685320e+000
8.906292e+001	-1.208357e+001
8.886761e+001	-8.727023e+000
8.867229e+001	0.000000e+000
8.847698e+001	5.370639e+000
8.828167e+001	-1.208357e+001
8.808635e+001	-6.713094e+000
8.789104e+001	-2.013928e+000
8.769572e+001	-1.208357e+001
8.750041e+001	-1.074095e+001
8.730510e+001	-1.074095e+001
8.710978e+001	6.041969e+000
8.691447e+001	5.370639e+000
8.671915e+001	0.000000e+000
8.652384e+001	6.713299e+000
8.632853e+001	0.000000e+000
8.613321e+001	-1.342619e+000
8.593790e+001	-1.342619e+001
8.574258e+001	3.356650e+000
8.554727e+001	2.685320e+000
8.535196e+001	-1.074095e+001
8.515664e+001	-2.013928e+000
8.496133e+001	-5.370475e+000
8.476601e+001	0.000000e+000
8.457070e+001	0.000000e+000
8.437539e+001	-2.685238e+000
8.418007e+001	-1.409750e+001
8.398476e+001	-6.713094e-001
8.378944e+001	8.055959e+000
8.359413e+001	-1.409750e+001
8.339882e+001	-6.713094e+000
8.320350e+001	-2.685238e+000
8.300819e+001	-1.409750e+001
8.281287e+001	-1.141226e+001
8.261756e+001	-2.685238e+000
8.242225e+001	-7.384404e+000
8.222693e+001	-6.713094e-001
8.203162e+001	4.699310e+000
8.183630e+001	-6.713094e-001
8.164099e+001	-9.398332e+000
8.144568e+001	-4.699166e+000
8.125036e+001	4.699310e+000
8.105505e+001	-2.685238e+000
8.085973e+001	1.141261e+001
8.066442e+001	0.000000e+000
8.046911e+001	-1.006964e+001
8.027379e+001	4.027979e+000
8.007848e+001	-2.013928e+000
7.988316e+001	-6.041785e+000
7.968785e+001	-2.685238e+000
7.949254e+001	6.713299e-001
7.929722e+001	0.000000e+000
7.910191e+001	1.342660e+000
7.890660e+001	4.699310e+000
7.871128e+001	-4.699166e+000
7.851597e+001	-1.342619e+000
7.832065e+001	-9.398332e+000
7.812534e+001	-4.699166e+000
7.793003e+001	-6.041785e+000
7.773471e+001	6.713299e+000
7.753940e+001	-1.141226e+001
7.734408e+001	0.000000e+000
7.714877e+001	4.027979e+000
7.695346e+001	-8.055713e+000
7.675814e+001	0.000000e+000
7.656283e+001	7.384629e+000
7.636751e+001	-3.356547e+000
7.617220e+001	1.409793e+001
7.597689e+001	-4.027857e+000
7.578157e+001	-6.713094e-001
7.558626e+001	5.370639e+000
7.539094e+001	-7.384404e+000
7.519563e+001	-4.699166e+000
7.500032e+001	-2.013928e+000
7.480500e+001	-1.342619e+000
7.460969e+001	6.713299e-001
7.441437e+001	-2.685238e+000
7.421906e+001	-7.384404e+000
7.402375e+001	0.000000e+000
7.382843e+001	-1.006964e+001
7.363312e+001	-3.356547e+000
7.343780e+001	-4.027857e+000
7.324249e+001	0.000000e+000
7.304718e+001	1.342660e+000
7.285186e+001	-7.384404e+000
7.265655e+001	9.398619e+000
7.246123e+001	-1.074095e+001
7.226592e+001	-3.356547e+000
7.207061e+001	4.027979e+000
7.187529e+001	-7.384404e+000
7.167998e+001	-4.027857e+000
7.148466e+001	9.398619e+000
7.128935e+001	9.398619e+000
7.109404e+001	-5.370475e+000
7.089872e+001	-2.013928e+000
7.070341e+001	-2.685238e+000
7.050809e+001	1.342660e+000
7.031278e+001	-8.727023e+000
7.011747e+001	-7.384404e+000
6.992215e+001	-2.685238e+000
6.972684e+001	2.685320e+000
6.953152e+001	3.356650e+000
6.933621e+001	4.027979e+000
6.914090e+001	-7.384404e+000
6.894558e+001	-3.356547e+000
6.875027e+001	2.013990e+000
6.855495e+001	-1.208357e+001
6.835964e+001	-7.384404e+000
6.816433e+001	-1.342619e+000
6.796901e+001	-6.713094e+000
6.777370e+001	-2.685238e+000
6.757838e+001	0.000000e+000
6.738307e+001	-8.055713e+000
6.718776e+001	-5.370475e+000
6.699244e+001	-1.342619e+000
6.679713e+001	6.713299e-001
6.660181e+001	6.713299e-001
6.640650e+001	-6.041785e+000
6.621119e+001	-7.384404e+000
6.601587e+001	4.699310e+000
6.582056e+001	-1.208357e+001
6.562524e+001	-6.041785e+000
6.542993e+001	-2.013928e+000
6.523462e+001	-6.713094e+000
6.503930e+001	-6.713094e-001
6.484399e+001	-2.685238e+000
6.464867e+001	-1.342619e+000
6.445336e+001	0.000000e+000
6.425805e+001	-6.041785e+000
6.406273e+001	-1.611143e+001
6.386742e+001	4.027979e+000
6.367210e+001	-2.685238e+000
6.347679e+001	-2.685238e+000
6.328148e+001	-4.027857e+000
6.308616e+001	-1.006964e+001
6.289085e+001	1.342660e+000
6.269553e+001	-6.713094e-001
6.250022e+001	0.000000e+000
6.230491e+001	3.356650e+000
6.210959e+001	7.384629e+000
6.191428e+001	-6.713094e-001
6.171896e+001	7.384629e+000
6.152365e+001	-1.476881e+001
6.132834e+001	6.713299e-001
6.113302e+001	5.370639e+000
6.093771e+001	6.041969e+000
6.074239e+001	-3.356547e+000
6.054708e+001	1.409793e+001
6.035177e+001	-1.342619e+000
6.015645e+001	0.000000e+000
5.996114e+001	6.713299e+000
5.976582e+001	6.713299e+000
5.957051e+001	2.013990e+000
5.937520e+001	0.000000e+000
5.917988e+001	-1.342619e+001
5.898457e+001	-4.699166e+000
5.878925e+001	5.370639e+000
5.859394e+001	-3.356547e+000
5.839863e+001	-1.342619e+000
5.820331e+001	-3.356547e+000
5.800800e+001	4.027979e+000
5.781268e+001	-8.727023e+000
5.761737e+001	-2.013928e+000
5.742206e+001	-1.342619e+000
5.722674e+001	2.685320e+000
5.703143e+001	0.000000e+000
5.683611e+001	2.685320e+000
5.664080e+001	-2.013928e+000
5.644549e+001	6.713299e+000
5.625017e+001	5.370639e+000
5.605486e+001	-6.713094e+000
5.585954e+001	-4.027857e+000
5.566423e+001	-1.342619e+000
5.546892e+001	-3.356547e+000
5.527360e+001	-2.685238e+000
5.507829e+001	-1.342619e+000
5.488297e+001	9.398619e+000
5.468766e+001	-8.727023e+000
5.449235e+001	3.356650e+000
5.429703e+001	-6.041785e+000
5.410172e+001	2.013990e+000
5.390640e+001	6.041969e+000
5.371109e+001	-4.699166e+000
5.351578e+001	-8.055713e+000
5.332046e+001	7.384629e+000
5.312515e+001	-1.342619e+000
5.292983e+001	-8.727023e+000
5.273452e+001	1.342660e+001
5.253921e+001	5.370639e+000
5.234389e+001	-1.208357e+001
5.214858e+001	-2.685238e+000
5.195326e+001	3.356650e+000
5.175795e+001	2.685320e+000
5.156264e+001	-6.713094e-001
5.136732e+001	-1.342619e+000
5.117201e+001	5.370639e+000
5.097669e+001	6.041969e+000
5.078138e+001	1.141261e+001
5.058607e+001	-4.699166e+000
5.039075e+001	0.000000e+000
5.019544e+001	1.409793e+001
5.000012e+001	1.074128e+001
4.980481e+001	-6.713094e-001
4.960950e+001	7.384629e+000
4.941418e+001	2.685320e+000
4.921887e+001	-8.727023e+000
4.902355e+001	-3.356547e+000
4.882824e+001	-5.370475e+000
4.863293e+001	-5.370475e+000
4.843761e+001	2.013990e+001
4.824230e+001	6.041969e+000
4.804699e+001	-2.685238e+000
4.785167e+001	-1.342619e+000
4.765636e+001	5.370639e+000
4.746104e+001	4.699310e+000
4.726573e+001	-4.027857e+000
4.707042e+001	-8.727023e+000
4.687510e+001	1.342660e+000
4.667979e+001	-1.342619e+000
4.648447e+001	6.713299e-001
4.628916e+001	1.342660e+000
4.609385e+001	2.013990e+000
4.589853e+001	7.384629e+000
